ID,B1.featureA,B1.featureC,B1.featureD,B2.featureA,B2.featureB,B2.featureD,B3.featureB,B3.featureC,B3.featureD,B4.featureA,B4.featureB,B4.featureC
R_3Hw3zJcXDckKKiY,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_3pfONRy8QkRqJ0k,,Most important,Least important,Most important,,Least important,,Most important,Least important,Most important,,Least important
R_rjXJ7GxidKMX5E5,Most important,Least important,,Least important,Most important,,Most important,Least important,,Most important,,Least important
R_0CA8H1UBKY1Vj9L,Most important,Least important,,,Most important,Least important,Most important,,Least important,Most important,,Least important
R_1lxTuuq3Ht3KMMV,,Least important,Most important,Least important,Most important,,Most important,,Least important,,Most important,Least important
R_2Y96IoXMaPdTugL,Least important,,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_5onv6qUul3CzJ2p,Most important,Least important,,Least important,,Most important,Most important,Least important,,Most important,Least important,
R_BKF8pLCJnf190OJ,Least important,,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_1GTYz9G5YzZSKnJ,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_1omVzHu5ntCcpB7,,Least important,Most important,,Most important,Least important,Most important,Least important,,,Most important,Least important
R_2b33vxIyihgLo5w,,Least important,Most important,Least important,Most important,,Most important,Least important,,,Most important,Least important
R_2CJpOiAC6oNita0,Most important,Least important,,,Most important,Least important,Most important,,Least important,Most important,,Least important
R_2TtL5Zv1gHjyK7l,Most important,Least important,,,Most important,Least important,Most important,,Least important,Most important,,Least important
R_31iRxJQ6J1ZTJL6,Least important,,Most important,Least important,Most important,,Least important,Most important,,Least important,Most important,
R_2B36zrRQqJFWJvY,Least important,,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_33wDORLu39YjOOI,Least important,,Most important,Least important,Most important,,Least important,Most important,,,Most important,Least important
R_3EEJPSmDzRgstBO,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_DMp0vi9jWLZt1ux,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_DjgVdnkmIljhTLH,Most important,,Least important,Most important,,Least important,Most important,,Least important,Most important,Least important,
R_1Oph3Rl5TV7WGeR,Least important,,Most important,,Most important,Least important,Most important,,Least important,Least important,Most important,
R_W0rJctZ885pq9G1,,Least important,Most important,Least important,Most important,,Most important,Least important,,Least important,Most important,
R_1ginifrUICO97K4,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_2AZ7cAh5nkSJmcq,Most important,Least important,,Most important,,Least important,Most important,,Least important,Most important,,Least important
R_31uybsaXCBu8Ax0,Most important,Least important,,Least important,,Most important,,Least important,Most important,,Least important,Most important
R_3nCKRGL0oaehsSY,Least important,,Most important,,Most important,Least important,,Most important,Least important,,Most important,Least important
R_10ZqLlYSjZ6ceoI,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_rkdzs6dc5QDds53,Most important,Least important,,,Most important,Least important,Most important,,Least important,Most important,,Least important
R_9TWWEUkY3E0VhG9,,Least important,Most important,Least important,Most important,,,Least important,Most important,Least important,,Most important
R_28NEsveCXWN6RbQ,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_21uNdqkSGlRqPbH,,Least important,Most important,,Most important,Least important,Most important,,Least important,,Most important,Least important
R_UxXL39vY5K48TNT,,Least important,Most important,Least important,Most important,,,Least important,Most important,Least important,Most important,
R_Y0myeBIFzU6k9Gx,,Most important,,Most important,,Least important,,Most important,Least important,Least important,Most important,
