At what price would you consider the product to be priced so low that you would feel the quality couldnÕt be very good?,At what price would you consider the product to be a bargainÑa great buy for the money?,"At what price would you consider the product starting to get expensive, so that it is not out of the question, but you would have to give some thought to buying it?",At what price would you consider the product to be so expensive that you would not consider buying it?,How likely would you purchase your next smartphone at $[PIPE ANSWER FROM Q1.16_2]?,How likely would you purchase your next smartphone at $[PIPE ANSWER FROM Q1.16_3]?
10,13,31,114,Very unlikely,Neither likely nor unlikely
46,75,100,120,Very likely,Likely
18,41,74,87,Likely,Likely
12,16,34,200,Very unlikely,Very unlikely
39,72,101,113,Neither likely nor unlikely,Neither likely nor unlikely
10,99,131,200,Very likely,Neither likely nor unlikely
10,67,95,128,Likely,Neither likely nor unlikely
50,55,60,81,Likely,Very likely
22,47,76,92,Very likely,Neither likely nor unlikely
10,53,110,130,Very likely,Neither likely nor unlikely
16,31,56,75,Likely,Likely
30,62,89,122,Neither likely nor unlikely,Neither likely nor unlikely
34,48,65,70,Likely,Neither likely nor unlikely
10,85,100,120,Likely,Likely
10,58,70,75,Neither likely nor unlikely,Neither likely nor unlikely
20,35,60,75,Likely,Very likely
23,44,90,114,Neither likely nor unlikely,Neither likely nor unlikely
30,40,70,80,Neither likely nor unlikely,Neither likely nor unlikely
52,63,79,123,Neither likely nor unlikely,Likely
39,61,80,100,Likely,Neither likely nor unlikely
34,82,100,119,Very likely,Likely
19,40,65,101,Likely,Likely
20,60,88,148,Neither likely nor unlikely,Very likely
29,41,78,88,Likely,Unlikely
20,35,70,100,Very likely,Neither likely nor unlikely
10,14,54,70,Neither likely nor unlikely,Very unlikely
29,43,89,132,Likely,Likely
71,98,135,190,Neither likely nor unlikely,Unlikely
20,50,78,100,Neither likely nor unlikely,Neither likely nor unlikely
52,61,96,99,Likely,Neither likely nor unlikely
38,64,88,113,Neither likely nor unlikely,Neither likely nor unlikely
10,43,61,81,Very likely,Neither likely nor unlikely
29,48,71,107,Neither likely nor unlikely,Neither likely nor unlikely
13,45,81,131,Likely,Neither likely nor unlikely
30,55,77,80,Likely,Unlikely
60,81,99,129,Likely,Likely
20,30,51,73,Very likely,Likely
72,112,135,185,Likely,Neither likely nor unlikely
28,42,67,101,Neither likely nor unlikely,Neither likely nor unlikely
16,30,66,110,Unlikely,Very likely
11,23,50,95,Likely,Likely
46,63,78,109,Very likely,Likely
47,60,100,118,Neither likely nor unlikely,Likely
41,42,76,116,Neither likely nor unlikely,Very unlikely
15,50,87,99,Very likely,Likely
20,35,75,87,Likely,Neither likely nor unlikely
31,45,56,69,Likely,Unlikely
90,101,125,155,Very unlikely,Neither likely nor unlikely
10,30,60,100,Likely,Neither likely nor unlikely
65,70,115,150,Unlikely,Likely
32,40,57,104,Unlikely,Unlikely
13,35,51,71,Likely,Likely
89,113,144,180,Neither likely nor unlikely,Neither likely nor unlikely
19,41,86,115,Likely,Unlikely
20,40,50,80,Likely,Likely
28,56,88,103,Likely,Neither likely nor unlikely
12,61,96,145,Neither likely nor unlikely,Neither likely nor unlikely
44,62,91,101,Likely,Unlikely
10,30,60,100,Neither likely nor unlikely,Neither likely nor unlikely
20,50,80,100,Likely,Likely
10,31,158,183,Very likely,Very likely
25,35,60,100,Neither likely nor unlikely,Neither likely nor unlikely
25,76,79,98,Very likely,Very likely
36,56,89,120,Likely,Likely
29,52,81,97,Likely,Neither likely nor unlikely
10,20,59,70,Very likely,Neither likely nor unlikely
21,42,70,88,Very likely,Very unlikely
21,42,68,129,Unlikely,Likely
28,105,153,183,Unlikely,Unlikely
25,61,78,100,Very likely,Likely
37,47,82,95,Very likely,Neither likely nor unlikely
50,81,88,147,Likely,Likely
37,59,78,138,Very likely,Very likely
10,30,35,80,Likely,Likely
15,33,65,100,Likely,Neither likely nor unlikely
21,39,50,106,Unlikely,Likely
24,41,80,157,Very unlikely,Likely
41,55,100,129,Very likely,Neither likely nor unlikely
25,63,107,117,Likely,Very unlikely
40,60,75,85,Very likely,Likely
15,54,113,200,Neither likely nor unlikely,Unlikely
28,51,89,117,Unlikely,Likely
