"CX_score" "featureA" "featureB" "featureC" "featureD" "overall"
"1" 70 85 74 61 56 79
"2" 66 80 63 55 49 65
"3" 67 74 59 49 39 58
"4" 63 79 62 52 38 61
"5" 71 82 69 54 47 48
"6" 75 77 64 49 39 62
"7" 76 90 74 61 48 86
"8" 68 71 57 42 31 30
"9" 67 77 64 51 43 56
"10" 74 72 57 49 40 63
"11" 80 73 58 47 39 64
"12" 74 81 81 57 49 75
"13" 71 70 57 50 39 64
"14" 75 83 79 55 48 58
"15" 72 80 64 57 46 79
"16" 74 79 74 57 52 93
"17" 81 89 78 65 50 67
"18" 76 86 70 59 43 74
"19" 70 70 51 47 32 69
"20" 71 76 64 51 46 64
"21" 64 73 71 52 43 62
"22" 66 73 67 53 35 59
"23" 66 73 70 49 38 42
"24" 72 86 64 59 45 61
"25" 68 83 71 57 49 57
"26" 70 82 43 51 33 64
"27" 72 80 61 54 39 70
"28" 73 86 72 56 39 59
"29" 87 89 72 65 55 95
"30" 84 87 75 61 56 84
"31" 74 75 64 53 40 64
"32" 75 77 53 50 41 65
"33" 70 76 62 50 43 57
"34" 81 82 71 62 54 66
"35" 69 75 60 51 34 63
"36" 70 81 61 54 39 57
"37" 91 89 73 67 56 78
"38" 82 82 62 56 45 63
"39" 70 68 62 51 42 54
"40" 69 81 62 54 44 56
"41" 77 75 58 50 34 58
"42" 67 74 56 52 44 40
"43" 77 80 58 54 51 63
"44" 70 78 81 51 49 53
"45" 74 85 75 58 50 66
"46" 73 82 71 53 44 67
"47" 73 80 72 57 49 63
"48" 79 83 76 56 47 67
"49" 77 79 64 60 43 65
"50" 77 83 69 53 45 49
"51" 77 79 65 58 42 62
"52" 71 75 64 49 43 48
"53" 74 77 62 53 41 58
"54" 69 76 65 57 40 53
"55" 76 83 76 58 48 63
"56" 73 79 57 52 39 48
"57" 71 76 72 58 46 64
"58" 77 75 63 54 48 71
"59" 89 90 73 63 51 75
"60" 74 76 73 52 42 53
"61" 73 79 72 55 48 73
"62" 73 82 69 59 46 60
"63" 73 76 66 49 43 71
"64" 90 97 84 70 61 91
"65" 69 72 58 47 43 46
"66" 65 75 58 55 46 45
"67" 72 76 63 48 39 47
"68" 80 71 65 54 44 46
"69" 92 84 70 61 48 74
"70" 74 76 54 50 45 56
"71" 77 76 55 55 41 62
"72" 77 77 51 50 38 54
"73" 77 91 78 62 51 62
"74" 73 76 68 55 40 70
"75" 80 77 59 56 42 62
"76" 76 88 90 63 45 66
"77" 81 75 65 54 42 69
"78" 82 78 66 52 44 66
"79" 70 73 57 56 41 53
"80" 64 77 60 54 41 58
"81" 68 74 50 47 36 39
"82" 68 77 60 55 45 60
"83" 68 70 68 51 43 56
"84" 59 76 59 49 38 48
"85" 73 79 63 57 48 66
"86" 69 73 66 51 42 57
"87" 61 77 60 51 42 40
"88" 67 76 55 54 42 57
"89" 81 85 71 58 47 65
"90" 74 72 61 51 49 51
"91" 85 78 70 59 44 66
"92" 85 87 72 59 54 66
"93" 74 80 63 50 45 79
"94" 66 75 65 51 42 53
"95" 70 74 77 59 49 63
"96" 85 85 59 64 50 65
"97" 81 87 69 60 48 65
"98" 64 81 60 52 41 46
"99" 66 80 78 59 52 53
"100" 58 76 50 50 32 35
"101" 73 82 67 54 44 63
"102" 64 83 64 54 46 61
"103" 75 79 71 52 36 65
"104" 85 87 73 59 55 91
"105" 89 88 81 59 55 86
"106" 71 82 66 55 40 65
"107" 83 84 63 59 51 60
"108" 82 88 81 59 52 72
"109" 87 86 83 56 50 67
"110" 76 85 67 61 48 69
"111" 78 81 80 61 52 73
"112" 74 78 61 50 40 61
"113" 71 88 68 56 45 46
"114" 75 80 61 54 42 54
"115" 70 74 56 49 42 64
"116" 84 77 55 55 36 58
"117" 76 86 56 59 47 61
"118" 82 86 61 62 49 78
"119" 73 80 69 56 49 73
"120" 69 79 85 56 42 51
"121" 76 86 69 56 48 67
"122" 88 90 63 60 52 83
"123" 73 82 70 54 53 57
"124" 69 72 62 52 41 40
"125" 79 89 73 63 54 65
"126" 86 97 77 64 53 88
"127" 75 77 56 51 45 42
"128" 81 81 66 59 54 69
"129" 67 74 55 51 41 53
"130" 73 80 81 50 36 54
"131" 76 86 73 59 50 71
"132" 72 81 68 56 42 54
"133" 62 79 63 50 40 47
"134" 71 84 64 57 50 66
"135" 70 78 67 51 47 47
"136" 64 72 51 48 36 51
"137" 74 72 60 50 42 76
"138" 69 72 45 47 35 47
"139" 72 68 53 48 37 53
"140" 69 83 59 58 52 53
"141" 81 88 77 60 53 75
"142" 81 85 76 61 47 88
"143" 64 84 71 57 47 52
"144" 63 72 59 51 39 49
"145" 68 79 63 51 42 65
"146" 66 72 70 48 35 51
"147" 79 77 67 55 48 70
"148" 66 76 57 50 45 44
"149" 76 73 67 52 44 69
"150" 71 73 58 49 48 60
"151" 62 85 65 54 36 39
"152" 72 85 56 58 45 69
"153" 78 80 63 58 49 78
"154" 79 93 80 67 61 88
"155" 64 81 60 51 42 64
"156" 75 77 60 50 41 63
"157" 76 80 53 49 31 52
"158" 66 75 61 51 44 45
"159" 93 88 72 63 52 97
"160" 75 82 68 62 46 67
"161" 85 84 75 61 47 80
"162" 67 77 60 50 41 52
"163" 81 83 64 58 44 59
"164" 81 89 51 58 47 72
"165" 63 71 70 50 38 53
"166" 74 83 77 56 47 52
"167" 74 80 67 54 48 68
"168" 76 78 66 56 43 60
"169" 74 82 63 57 40 63
"170" 60 72 55 48 37 57
"171" 74 80 64 57 49 66
"172" 79 86 74 61 46 59
"173" 78 80 68 56 48 62
"174" 78 76 68 56 48 57
"175" 72 74 48 50 42 67
"176" 78 74 70 54 35 68
"177" 65 71 56 48 38 50
"178" 80 77 80 50 35 59
"179" 66 77 77 56 48 59
"180" 66 80 66 55 48 52
"181" 79 92 82 61 51 77
"182" 84 78 75 55 50 82
"183" 79 89 83 62 46 74
"184" 81 77 60 51 42 59
"185" 71 75 68 50 47 63
"186" 79 93 61 65 56 70
"187" 56 76 54 47 48 42
"188" 78 82 71 56 48 57
"189" 80 77 70 56 43 64
"190" 77 78 60 55 52 68
"191" 80 78 73 56 52 64
"192" 80 87 70 61 48 81
"193" 76 74 60 55 47 58
"194" 66 74 57 53 42 46
"195" 78 73 53 52 42 72
"196" 74 84 51 53 40 39
"197" 79 86 73 64 48 69
"198" 66 75 40 50 42 40
"199" 70 81 69 55 44 62
"200" 69 86 69 59 46 55
"201" 71 74 68 54 42 50
"202" 76 82 57 54 41 61
"203" 63 71 59 45 37 52
"204" 68 78 73 53 47 53
"205" 78 77 65 55 39 70
"206" 78 82 74 58 50 51
"207" 72 76 49 54 38 58
"208" 73 79 66 59 49 64
"209" 75 80 67 54 47 70
"210" 68 74 72 46 39 52
"211" 87 89 79 65 59 78
"212" 67 70 61 54 40 52
"213" 72 78 62 52 43 59
"214" 72 82 76 56 49 67
"215" 63 84 66 58 51 68
"216" 55 70 55 46 33 60
"217" 72 76 63 52 42 49
"218" 55 80 55 53 37 47
"219" 71 82 68 56 48 66
"220" 63 76 59 49 42 53
"221" 77 79 53 56 47 68
"222" 71 72 62 48 35 59
"223" 72 72 61 52 42 57
"224" 68 78 74 55 53 61
"225" 68 77 73 56 40 59
"226" 60 86 63 55 51 60
"227" 60 77 53 48 38 45
"228" 78 79 61 58 47 71
"229" 78 86 74 62 55 69
"230" 78 75 53 52 44 74
"231" 73 79 68 55 46 62
"232" 74 77 62 52 38 49
"233" 77 80 63 57 49 64
"234" 72 81 68 57 43 60
"235" 77 76 78 56 37 51
"236" 74 80 66 59 43 60
"237" 80 78 77 55 53 72
"238" 79 86 55 57 55 58
"239" 66 70 58 52 45 62
"240" 67 66 42 44 29 47
"241" 75 78 67 58 49 61
"242" 71 80 65 57 45 43
"243" 64 73 55 48 42 55
"244" 65 75 59 53 42 60
"245" 68 77 75 49 47 62
"246" 77 77 62 55 47 60
"247" 65 80 57 50 38 42
"248" 63 77 54 49 37 42
"249" 75 87 70 62 44 74
"250" 76 85 69 56 48 57
"251" 84 87 73 60 60 81
"252" 74 76 61 51 42 60
"253" 71 76 70 50 43 49
"254" 88 97 96 70 56 93
"255" 71 85 72 54 41 57
"256" 65 78 66 53 46 58
"257" 72 82 64 53 51 52
"258" 74 81 76 55 50 73
"259" 73 81 64 56 53 63
"260" 83 86 72 61 52 73
"261" 76 70 60 52 40 61
"262" 70 77 64 54 47 66
"263" 71 76 68 52 44 52
"264" 73 77 63 49 44 50
"265" 65 72 47 52 39 57
"266" 60 77 59 51 42 45
"267" 75 73 48 49 38 51
"268" 71 76 65 53 40 53
"269" 71 84 75 61 46 92
"270" 69 82 72 56 51 56
"271" 58 67 50 42 35 43
"272" 72 71 64 51 39 56
"273" 68 81 73 57 42 49
"274" 66 80 60 49 36 50
"275" 67 79 65 52 44 55
"276" 71 75 60 54 45 48
"277" 56 72 55 43 31 38
"278" 77 81 72 59 53 62
"279" 71 82 77 58 52 53
"280" 62 76 62 48 33 39
"281" 74 70 61 54 42 68
"282" 58 75 70 50 42 39
"283" 76 80 67 57 48 51
"284" 62 71 61 49 43 37
"285" 67 68 61 45 40 43
"286" 77 80 58 56 42 68
"287" 57 69 50 48 35 30
"288" 78 84 71 53 49 60
"289" 76 79 59 54 52 70
"290" 86 83 79 59 55 62
"291" 74 77 77 55 39 56
"292" 79 92 61 64 52 83
"293" 84 87 78 61 52 58
"294" 66 81 77 62 55 69
"295" 72 81 74 51 44 59
"296" 71 76 62 53 43 56
"297" 63 80 77 56 44 46
"298" 84 92 58 58 58 64
"299" 73 75 56 51 42 53
"300" 73 86 82 67 58 80
"301" 62 80 76 51 42 40
"302" 76 79 62 55 47 58
"303" 70 82 66 56 49 55
"304" 75 79 59 54 47 63
"305" 63 76 59 43 35 42
"306" 66 75 61 54 39 69
"307" 75 82 66 56 40 53
"308" 75 82 75 58 51 67
"309" 70 75 44 51 39 55
"310" 80 70 61 48 34 49
"311" 92 86 73 63 54 92
"312" 73 69 52 51 44 45
"313" 71 68 59 50 45 59
"314" 72 80 64 51 41 56
"315" 66 76 69 51 36 32
"316" 73 80 62 52 43 60
"317" 69 75 57 45 43 42
"318" 69 83 60 50 37 43
"319" 75 78 53 54 37 48
"320" 70 82 63 50 40 56
"321" 58 77 61 54 42 38
"322" 85 84 57 57 50 73
"323" 76 76 80 55 41 71
"324" 87 87 64 63 55 81
"325" 60 64 51 40 33 43
"326" 74 85 72 54 47 64
"327" 75 77 65 56 46 62
"328" 85 83 69 59 51 82
"329" 91 88 64 63 59 81
"330" 75 76 60 50 45 52
"331" 79 89 66 61 54 60
"332" 79 78 59 52 41 63
"333" 87 88 72 65 52 80
"334" 85 89 75 63 54 78
"335" 68 71 48 44 36 52
"336" 64 69 49 47 39 35
"337" 49 66 48 45 38 46
"338" 70 85 67 60 54 48
"339" 80 82 72 51 44 56
"340" 71 72 48 44 37 35
"341" 75 79 64 52 39 67
"342" 79 85 82 60 51 58
"343" 76 84 70 56 52 68
"344" 73 85 70 60 50 56
"345" 75 80 69 59 44 56
"346" 66 73 47 45 31 46
"347" 71 81 63 57 50 63
"348" 85 75 53 54 42 58
"349" 70 88 72 53 45 72
"350" 87 88 63 60 44 63
"351" 73 78 66 50 47 56
"352" 84 85 62 59 53 67
"353" 65 79 61 53 40 45
"354" 82 84 57 58 45 76
"355" 77 85 68 58 51 58
"356" 62 74 58 50 43 48
"357" 58 67 64 43 36 41
"358" 65 74 48 51 37 37
"359" 74 77 64 54 44 74
"360" 60 77 65 52 39 50
"361" 75 78 74 55 44 89
"362" 66 77 59 50 35 51
"363" 74 80 68 59 44 62
"364" 56 74 52 54 47 52
"365" 80 77 50 54 45 64
"366" 74 81 60 54 41 51
"367" 72 82 66 53 45 57
"368" 71 77 74 53 44 45
"369" 83 86 75 62 53 79
"370" 80 79 72 55 45 64
"371" 61 75 54 50 38 41
"372" 75 75 56 55 46 46
"373" 87 91 76 65 59 67
"374" 81 79 74 55 51 71
"375" 74 75 59 51 43 55
"376" 82 86 71 60 44 67
"377" 75 77 85 52 36 73
"378" 69 79 69 48 35 56
"379" 76 83 63 58 48 67
"380" 72 83 62 55 50 69
"381" 74 78 51 54 39 57
"382" 71 71 68 51 43 48
"383" 72 75 67 52 38 43
"384" 76 79 50 55 47 67
"385" 73 75 65 55 42 64
"386" 81 79 56 52 39 55
"387" 76 80 68 59 53 73
"388" 73 82 71 58 46 64
"389" 76 89 59 61 57 79
"390" 74 80 65 55 52 56
"391" 69 74 70 53 44 66
"392" 78 74 68 57 50 69
"393" 67 78 61 51 46 58
"394" 77 77 61 50 41 57
"395" 81 85 80 56 44 64
"396" 77 91 56 63 61 72
"397" 77 84 80 58 46 86
"398" 69 84 82 55 45 63
"399" 77 75 61 53 42 66
"400" 71 77 58 53 37 45
"401" 80 79 81 58 48 53
"402" 63 76 60 55 41 32
"403" 79 83 71 59 52 73
"404" 66 78 56 53 44 62
"405" 80 87 71 61 46 67
"406" 77 78 65 54 41 64
"407" 94 89 62 61 50 91
"408" 71 81 74 56 46 53
"409" 60 75 71 57 48 55
"410" 67 76 64 53 39 53
"411" 63 79 61 53 37 60
"412" 62 76 53 49 39 35
"413" 70 77 56 53 43 49
"414" 73 72 59 46 31 62
"415" 75 82 65 57 49 50
"416" 67 73 55 50 40 53
"417" 74 85 64 60 51 70
"418" 73 84 68 58 44 51
"419" 76 83 70 58 50 61
"420" 74 80 77 55 44 61
"421" 70 75 62 51 49 63
"422" 78 81 53 59 50 61
"423" 81 78 79 52 43 62
"424" 62 75 52 47 31 40
"425" 76 76 59 54 42 70
"426" 64 82 46 54 44 57
"427" 73 80 64 50 47 67
"428" 75 89 70 63 48 64
"429" 83 91 61 65 53 76
"430" 70 78 49 55 47 60
"431" 73 74 61 52 43 58
"432" 80 78 60 54 42 69
"433" 68 75 67 49 38 59
"434" 72 86 64 59 50 57
"435" 73 83 55 52 47 49
"436" 78 75 60 55 39 61
"437" 72 83 61 57 49 71
"438" 71 80 68 55 43 63
"439" 80 84 76 58 51 62
